"shapeid","x","y"
"3","5.27798611111","44.1782934882"
"3","5.28006944444","44.1783066239"
"3","5.28188103865","44.1779861111"
"3","5.28215277778","44.1779223356"
"3","5.28423611111","44.1759301901"
"3","5.28426248242","44.1759027778"
"3","5.28631944444","44.1747584116"
"3","5.28840277778","44.1744372605"
"3","5.29030880615","44.1738194444"
"3","5.29048611111","44.1737436869"
"3","5.29256944444","44.1723690225"
"3","5.29308490836","44.1717361111"
"3","5.29465277778","44.1701842404"
"3","5.2953291847","44.1696527778"
"3","5.29673611111","44.1680113636"
"3","5.29881944444","44.1678718638"
"3","5.30090277778","44.1676366487"
"3","5.30104897661","44.1675694444"
"3","5.30090277778","44.1671064815"
"3","5.29881944444","44.1667171717"
"3","5.29673611111","44.1670750942"
"3","5.29465277778","44.1674801587"
"3","5.29256944444","44.1669509549"
"3","5.29048611111","44.1672916667"
"3","5.28840277778","44.166969697"
"3","5.28631944444","44.1672584992"
"4","5.20090277778","44.1612841337"
"4","5.20082264957","44.1613194444"
"4","5.20090277778","44.1623611111"
"4","5.20194444444","44.1613194444"
"4","5.20090277778","44.1612841337"
"5","5.31756944444","44.1592311626"
"5","5.31756146232","44.1592361111"
"5","5.31548611111","44.1605257937"
"5","5.31340277778","44.1606010536"
"5","5.31131944444","44.1602777778"
"5","5.30923611111","44.1607986111"
"5","5.30715277778","44.1608311632"
"5","5.30506944444","44.1603893849"
"5","5.30298611111","44.1604513889"
"5","5.30090277778","44.1610590278"
"5","5.30062124625","44.1613194444"
"5","5.3","44.1634027778"
"5","5.29881944444","44.1637919719"
"5","5.29673611111","44.1639583333"
"5","5.29465277778","44.1641111111"
"5","5.29256944444","44.1637232906"
"5","5.29048611111","44.1638732079"
"5","5.28840277778","44.1639087302"
"5","5.28631944444","44.1638573232"
"5","5.28423611111","44.1648313492"
"5","5.28361674174","44.1654861111"
"5","5.28215277778","44.1664200192"
"5","5.28006944444","44.166162518"
"5","5.27849116162","44.1654861111"
"5","5.27798611111","44.1652335859"
"5","5.27590277778","44.1654823301"
"5","5.27381944444","44.165453559"
"5","5.27358796296","44.1654861111"
"5","5.27173611111","44.165727657"
"5","5.26965277778","44.1661425038"
"5","5.26756944444","44.1665277778"
"5","5.26548611111","44.1669873366"
"5","5.26340277778","44.1673169192"
"5","5.26131944444","44.1669532473"
"5","5.25923611111","44.1673090278"
"5","5.25838383838","44.1675694444"
"5","5.25715277778","44.168028484"
"5","5.25506944444","44.1685795455"
"5","5.25298611111","44.168969184"
"5","5.25090277778","44.1695519713"
"5","5.25012152778","44.1696527778"
"5","5.24881944444","44.1697813786"
"5","5.24673611111","44.1698901195"
"5","5.24465277778","44.1701358696"
"5","5.24256944444","44.170864899"
"5","5.24137152778","44.1717361111"
"5","5.24256944444","44.1723925038"
"5","5.24407910628","44.1738194444"
"5","5.24465277778","44.1742361111"
"5","5.24673611111","44.1753458471"
"5","5.24821637427","44.1759027778"
"5","5.24881944444","44.1761342593"
"5","5.25090277778","44.1766765873"
"5","5.25298611111","44.1770259662"
"5","5.25506944444","44.177303338"
"5","5.25715277778","44.177620614"
"5","5.25923611111","44.1777546296"
"5","5.26131944444","44.1779679952"
"5","5.26144965278","44.1779861111"
"5","5.26340277778","44.1782532051"
"5","5.26548611111","44.1784139385"
"5","5.26756944444","44.1786074561"
"5","5.26965277778","44.1787673611"
"5","5.27173611111","44.1788149642"
"5","5.27381944444","44.1791802168"
"5","5.27590277778","44.1797608025"
"5","5.27798611111","44.1800011384"
"5","5.28006944444","44.179909188"
"5","5.28215277778","44.1796158154"
"5","5.28423611111","44.1786714181"
"5","5.2847183642","44.1779861111"
"5","5.28631944444","44.1763392857"
"5","5.28822916667","44.1759027778"
"5","5.28840277778","44.1758740421"
"5","5.29048611111","44.1755143597"
"5","5.29256944444","44.1744486391"
"5","5.29371273713","44.1738194444"
"5","5.29465277778","44.1726150174"
"5","5.29535590278","44.1717361111"
"5","5.29673611111","44.1706428768"
"5","5.29858796296","44.1696527778"
"5","5.29881944444","44.1695519713"
"5","5.30090277778","44.1693167563"
"5","5.30298611111","44.1684760802"
"5","5.30408629838","44.1675694444"
"5","5.30506944444","44.1666856061"
"5","5.30711685824","44.1654861111"
"5","5.30715277778","44.1654550166"
"5","5.30923611111","44.1642228132"
"5","5.31126461988","44.1634027778"
"5","5.31131944444","44.1633159722"
"5","5.31340277778","44.1626635305"
"5","5.31548611111","44.1620946382"
"5","5.31756944444","44.1616962175"
"5","5.31965277778","44.1617846548"
"5","5.32091374269","44.1613194444"
"5","5.32147569444","44.1592361111"
"5","5.31965277778","44.1589046717"
"5","5.31756944444","44.1592311626"
"6","5.15506944444","44.1547718254"
"6","5.15513257576","44.1550694444"
"6","5.15506944444","44.1551686508"
"6","5.15498263889","44.1550694444"
"6","5.15506944444","44.1547718254"
"7","5.38631944444","44.1547977053"
"7","5.38575126263","44.1550694444"
"7","5.38631944444","44.1551686508"
"7","5.38650326797","44.1550694444"
"7","5.38631944444","44.1547977053"
"8","5.31756944444","44.1545679012"
"8","5.31576388889","44.1550694444"
"8","5.31548611111","44.1551710705"
"8","5.31340277778","44.1553411836"
"8","5.31131944444","44.1562949346"
"8","5.30923611111","44.15625"
"8","5.30715277778","44.1565740741"
"8","5.30506944444","44.1567141813"
"8","5.30298611111","44.1565479391"
"8","5.30090277778","44.1567228836"
"8","5.29881944444","44.1571127137"
"8","5.29875","44.1571527778"
"8","5.29673611111","44.1584661836"
"8","5.29594907407","44.1592361111"
"8","5.29465277778","44.1604513889"
"8","5.29256944444","44.1604660308"
"8","5.29048611111","44.1597569444"
"8","5.28840277778","44.1613065045"
"8","5.28631944444","44.160625"
"8","5.28423611111","44.1601073232"
"8","5.28248172515","44.1613194444"
"8","5.28215277778","44.1616870915"
"8","5.28006944444","44.1633321563"
"8","5.27798611111","44.1617518344"
"8","5.27590277778","44.161937934"
"8","5.27381944444","44.1618611111"
"8","5.27173611111","44.1623611111"
"8","5.26965277778","44.1627083333"
"8","5.26829408213","44.1634027778"
"8","5.26756944444","44.1636478758"
"8","5.26548611111","44.163946256"
"8","5.26340277778","44.1640030603"
"8","5.26131944444","44.1640393519"
"8","5.25923611111","44.1644444444"
"8","5.25715277778","44.1648642206"
"8","5.25506944444","44.1654550166"
"8","5.25486111111","44.1654861111"
"8","5.25298611111","44.165770202"
"8","5.25090277778","44.166234809"
"8","5.24881944444","44.1671064815"
"8","5.24673611111","44.1672017974"
"8","5.24465277778","44.16735758"
"8","5.24391748366","44.1675694444"
"8","5.24256944444","44.1678595288"
"8","5.24048611111","44.1682539683"
"8","5.23840277778","44.168969184"
"8","5.2374084596","44.1696527778"
"8","5.23725481859","44.1717361111"
"8","5.23840277778","44.1727777778"
"8","5.23971091731","44.1738194444"
"8","5.24048611111","44.1741197447"
"8","5.24256944444","44.1749395161"
"8","5.24390650912","44.1759027778"
"8","5.24465277778","44.1763614934"
"8","5.24673611111","44.1772853535"
"8","5.24830924036","44.1779861111"
"8","5.24881944444","44.1782802288"
"8","5.25090277778","44.1786805556"
"8","5.25298611111","44.1787757616"
"8","5.25506944444","44.179131006"
"8","5.25715277778","44.1795437435"
"8","5.25923611111","44.1796338384"
"8","5.26131944444","44.1798611111"
"8","5.26340277778","44.1800338319"
"8","5.2637232906","44.1800694444"
"8","5.26548611111","44.1803359173"
"8","5.26756944444","44.1805596405"
"8","5.26965277778","44.1808605837"
"8","5.27173611111","44.1813605243"
"8","5.27381944444","44.1816440568"
"8","5.27590277778","44.1817684736"
"8","5.27798611111","44.1819043068"
"8","5.28006944444","44.1816450747"
"8","5.28215277778","44.1813263315"
"8","5.28423611111","44.1810146605"
"8","5.28540948276","44.1800694444"
"8","5.28631944444","44.1786300505"
"8","5.28674615127","44.1779861111"
"8","5.28840277778","44.1771476965"
"8","5.29048611111","44.17700822"
"8","5.29246781843","44.1759027778"
"8","5.29256944444","44.1758468494"
